"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","sample","fraction_overlap","overlap","padj"
"Glycolysis","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"NT5E;SOX9","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
"KRAS Signaling Up","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"ID2;SOX9","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
"KRAS Signaling Dn","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"TENM2;PDK2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
"Protein Secretion","1/96",0.551585762659332,0.673121868648207,0,0,1.2592663476874,0.749210517651454,"GNAS","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0104166666666667,1,0.676282340368468
"Interferon Alpha Response","1/97",0.55532554163477,0.673121868648207,0,0,1.24608585858586,0.732948668598499,"IFITM2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0103092783505155,1,0.67948369118726
"Bile Acid Metabolism","1/112",0.607841131255199,0.71510721324141,0,0,1.07687687687688,0.536114245698961,"CAT","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.00892857142857143,1,0.707776326916111
"Spermatogenesis","1/135",0.676635597481188,0.773297825692786,0,0,0.890999547715966,0.348044392171107,"ZC3H14","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.00740740740740741,1,0.741487333379871
"DNA Repair","1/150",0.714893401098879,0.792888176847001,0,0,0.800691478543827,0.268729544719172,"SNAPC5","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.00666666666666667,1,0.764550450565604
"Fatty Acid Metabolism","1/158",0.733421563583476,0.792888176847001,0,0,0.759583092067168,0.235497056495092,"EPHX1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.00632911392405063,1,0.778694499607147
"Mitotic Spindle","1/199",0.811165851310294,0.812748912747218,0,0,0.601040710131619,0.125787448796945,"FLNB","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0050251256281407,1,0.850912774737087
"Interferon Gamma Response","1/200",0.812748912747218,0.812748912747218,0,0,0.597989949748744,0.123983084662393,"IFITM2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.005,1,0.850912774737087
"Oxidative Phosphorylation","1/200",0.812748912747218,0.812748912747218,0,0,0.597989949748744,0.123983084662393,"CYB5R3","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.005,1,0.850912774737087
"Epithelial Mesenchymal Transition","18/200",2.45961154368896e-12,9.34652386601804e-11,0,0,10.4292803970223,278.785278760938,"ECM1;POSTN;SPARC;IGFBP4;FBLN1;GREM1;SFRP1;NT5E;CXCL12;CALD1;ID2;COL6A2;COL8A2;PMP22;SDC1;GAS1;CCN2;PFN2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.09,18,1.48068614930075e-09
"UV Response Dn","8/144",0.000117505627891339,0.00223260692993544,0,0,5.90036014405762,53.3925024909584,"FZD2;ZMIZ1;CITED2;NFIB;ID1;PMP22;PLPP3;CDON","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0555555555555556,8,0.00186153652606805
"Angiogenesis","4/36",0.000479399109482007,0.00607238872010543,0,0,12.3525,94.4098745478725,"APP;POSTN;S100A4;FGFR1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.111111111111111,4,0.00537794880979829
"Estrogen Response Late","8/200",0.00106105471893456,0.0100800198298783,0,0,4.16751700680272,28.5412062462292,"CXCL12;IGFBP4;ID2;FLNB;HR;NBL1;CXCL14;PRLR","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.04,8,0.00875006768217265
"TGF-beta Signaling","4/54",0.0022313336616004,0.0169581358281631,0,0,7.8984,48.2209627108702,"ID2;ID1;ID3;LTBP2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0740740740740741,4,0.0155673774848718
"Notch Signaling","3/32",0.00417117481678419,0.021514029165729,0,0,10.1734431291817,55.7459671304494,"FZD1;TCF7L2;FZD7","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.09375,3,0.0246181101931773
"Estrogen Response Early","7/200",0.00452926929804822,0.021514029165729,0,0,3.60908445332842,19.4789313222363,"CXCL12;IGFBP4;KRT15;FLNB;HR;AQP3;NBL1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.035,7,0.0262175011290868
"p53 Pathway","7/200",0.00452926929804822,0.021514029165729,0,0,3.60908445332842,19.4789313222363,"APP;KRT17;VDR;EPHX1;SDC1;S100A4;RPL18","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.035,7,0.0262175011290868
"IL-2/STAT5 Signaling","6/199",0.0165473186598868,0.0535768697959012,0,0,3.07787721777359,12.6240094532204,"ECM1;NT5E;ALCAM;COL6A1;PLPP1;HOPX","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0301507537688442,6,0.064684972943194
"Myogenesis","6/200",0.0169190115144951,0.0535768697959012,0,0,3.06185567010309,12.4902809510207,"APP;SPARC;DAPK2;FST;COL6A2;IGFBP7","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0648741715396564
"Apical Junction","6/200",0.0169190115144951,0.0535768697959012,0,0,3.06185567010309,12.4902809510207,"COL17A1;ACTN1;NRTN;NECTIN4;CD34;PKD1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0648741715396564
"Xenobiotic Metabolism","6/200",0.0169190115144951,0.0535768697959012,0,0,3.06185567010309,12.4902809510207,"SLC6A6;IGFBP4;ID2;EPHX1;FBLN1;APOE","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0648741715396564
"Androgen Response","4/100",0.0192837703215897,0.0563679440169544,0,0,4.10416666666667,16.2052670042792,"ZMIZ1;ACTN1;SLC38A2;PLPP1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.04,4,0.0734736059088416
"Coagulation","4/138",0.0530308185762775,0.143940793278467,0,0,2.93462686567164,8.61865297068026,"SPARC;CSRP1;CAPN2;CRIP2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0289855072463768,4,0.154973557198636
"Apical Surface","2/44",0.0741014802706792,0.187723750019054,0,0,4.65676567656766,12.1183933854013,"APP;GAS1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0454545454545455,2,0.1907404328976
"Reactive Oxygen Species Pathway","2/49",0.089168843808132,0.211776004044314,0,0,4.16031177585844,10.0564037458597,"PRDX1;MGST1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0408163265306122,2,0.205669133994236
"Hypoxia","4/200",0.14835449182278,0.313192816070314,0,0,2,3.8163013083089,"SLC6A6;CITED2;S100A4;CCN2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.02,4,0.29186079763828
"Glycolysis","4/200",0.14835449182278,0.313192816070314,0,0,2,3.8163013083089,"NT5E;CITED2;SDC1;SOX9","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.02,4,0.29186079763828
"Cholesterol Homeostasis","2/74",0.174439391404645,0.34887878280929,0,0,2.71232123212321,4.73619546067817,"LGALS3;ALCAM","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.027027027027027,2,0.329709011166261
"UV Response Up","3/158",0.218709221796444,0.41026777089334,0,0,1.89128550794415,2.8747770188389,"LHX2;EPHX1;AQP3","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0189873417721519,3,0.366749168583453
"Apoptosis","3/161",0.226726926020004,0.41026777089334,0,0,1.85509163045532,2.75297259142871,"APP;LGALS3;TIMP2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0186335403726708,3,0.379137804066784
"Mitotic Spindle","3/199",0.331451733063677,0.456921887550703,0,0,1.49253731343284,1.6481687784702,"MARCKS;FLNB;PKD2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0150753768844221,3,0.470619020076282
"TNF-alpha Signaling via NF-kB","3/200",0.334240015531953,0.456921887550703,0,0,1.48488521857717,1.6272796745414,"MARCKS;ID2;PLPP3","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.015,3,0.470619020076282
"Adipogenesis","3/200",0.334240015531953,0.456921887550703,0,0,1.48488521857717,1.6272796745414,"APLP2;SNCG;APOE","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.015,3,0.470619020076282
"Complement","3/200",0.334240015531953,0.456921887550703,0,0,1.48488521857717,1.6272796745414,"LGALS3;CSRP1;TIMP2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.015,3,0.470619020076282
"heme Metabolism","3/200",0.334240015531953,0.456921887550703,0,0,1.48488521857717,1.6272796745414,"AQP3;NUDT4;TNS1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.015,3,0.470619020076282
"KRAS Signaling Dn","3/200",0.334240015531953,0.456921887550703,0,0,1.48488521857717,1.6272796745414,"TENM2;KRT15;PDK2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.015,3,0.470619020076282
"Pancreas Beta Cells","1/40",0.336679285563676,0.456921887550703,0,0,2.4955159782746,2.71667977580858,"VDR","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.025,1,0.472449720068375
"Wnt-beta Catenin Signaling","1/42",0.350169170908407,0.458842361879981,0,0,2.37354319356001,2.49065119391104,"FZD1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0238095238095238,1,0.486942017364452
"mTORC1 Signaling","2/200",0.607505270072967,0.721412508211648,0,0,0.97999799979998,0.488425543323529,"SLC6A6;PRDX1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.01,2,0.707776326916111
"Myc Targets V1","2/200",0.607505270072967,0.721412508211648,0,0,0.97999799979998,0.488425543323529,"RPS2;RPL18","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.01,2,0.707776326916111
"KRAS Signaling Up","2/200",0.607505270072967,0.721412508211648,0,0,0.97999799979998,0.488425543323529,"ID2;SOX9","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.01,2,0.707776326916111
"Interferon Alpha Response","1/97",0.630972853879322,0.726574801436795,0,0,1.01087848932677,0.46550190023339,"IFITM2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.0103092783505155,1,0.716689920821419
"Pperoxisome","1/104",0.656653088537866,0.733906393071733,0,0,0.941843225405328,0.3961387176192,"PRDX1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.00961538461538462,1,0.732389728611957
"Fatty Acid Metabolism","1/158",0.803343037545202,0.872201012191934,0,0,0.616202817608484,0.134932063838684,"EPHX1","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.00632911392405063,1,0.84547641364023
"G2-M Checkpoint","1/200",0.872646357595488,0.872646357595488,0,0,0.485110280466371,0.0660840964756946,"MARCKS","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.005,1,0.891906803518648
"Interferon Gamma Response","1/200",0.872646357595488,0.872646357595488,0,0,0.485110280466371,0.0660840964756946,"IFITM2","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.005,1,0.891906803518648
"Oxidative Phosphorylation","1/200",0.872646357595488,0.872646357595488,0,0,0.485110280466371,0.0660840964756946,"CYB5R3","de/p60_de_up5_vs_down5_downsample500_pct10_lfc0.1.csv",0.005,1,0.891906803518648
"Epithelial Mesenchymal Transition","8/200",1.13430206255991e-05,0.000397005721895968,0,0,8.37670068027211,95.3847193702063,"GREM1;POSTN;IGFBP4;ID2;COL8A2;FBLN1;CCN2;PFN2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.04,8,0.000296891235504811
"Notch Signaling","3/32",0.00064176608275759,0.00604294617747847,0,0,19.9514563106796,146.668874978288,"FZD1;TCF7L2;FZD7","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.09375,3,0.00623134164225918
"Myogenesis","6/200",0.000690622420283253,0.00604294617747847,0,0,6.09278350515464,44.3427745297273,"APP;HDAC5;FST;DAPK2;HSPB8;DMD","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.03,6,0.00649616714078935
"Xenobiotic Metabolism","6/200",0.000690622420283253,0.00604294617747847,0,0,6.09278350515464,44.3427745297273,"SLC6A6;ALDH2;IGFBP4;ID2;FBLN1;APOE","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.03,6,0.00649616714078935
"Angiogenesis","3/36",0.000909737683735259,0.00636816378614682,0,0,17.5295675198588,122.748241792326,"APP;POSTN;S100A4","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0833333333333333,3,0.00782374408012323
"Wnt-beta Catenin Signaling","2/42",0.0208736079303622,0.0695953345009476,0,0,9.54519230769231,36.9329233428413,"FZD1;HDAC5","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0476190476190476,2,0.0780491426961368
"Adipogenesis","4/200",0.0218728194145835,0.0695953345009476,0,0,3.94117647058824,15.0651885815296,"ALDH2;HSPB8;SNCG;APOE","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,4,0.0793219113709595
"Estrogen Response Early","4/200",0.0218728194145835,0.0695953345009476,0,0,3.94117647058824,15.0651885815296,"IGFBP4;HSPB8;FLNB;AQP3","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,4,0.0793219113709595
"Estrogen Response Late","4/200",0.0218728194145835,0.0695953345009476,0,0,3.94117647058824,15.0651885815296,"IGFBP4;ID2;HSPB8;FLNB","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,4,0.0793219113709595
"Apical Junction","4/200",0.0218728194145835,0.0695953345009476,0,0,3.94117647058824,15.0651885815296,"SRC;ACTN1;NRTN;CD34","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,4,0.0793219113709595
"p53 Pathway","4/200",0.0218728194145835,0.0695953345009476,0,0,3.94117647058824,15.0651885815296,"APP;KRT17;VDR;S100A4","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,4,0.0793219113709595
"UV Response Dn","3/144",0.0412253697255301,0.120240661699463,0,0,4.08035529849205,13.0110348245742,"FZD2;ZMIZ1;NFIB","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0208333333333333,3,0.125341780680652
"UV Response Up","3/158",0.0517792714013123,0.139405730695841,0,0,3.70917632320702,10.9820008304971,"NXF1;LHX2;AQP3","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0189873417721519,3,0.152799614625441
"Hypoxia","3/200",0.0902475431661121,0.210577600720928,0,0,2.91217781282342,7.00436688562417,"SLC6A6;S100A4;CCN2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.015,3,0.205791746159089
"Complement","3/200",0.0902475431661121,0.210577600720928,0,0,2.91217781282342,7.00436688562417,"CSRP1;SRC;TIMP2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.015,3,0.205791746159089
"Androgen Response","2/100",0.0986696402849089,0.215839838123238,0,0,3.88461538461538,8.99668367505838,"ZMIZ1;ACTN1","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.02,2,0.220672598770748
"Spermatogenesis","2/135",0.160597731857368,0.33064238911811,0,0,2.85728744939271,5.22555758219693,"ZC3H14;MTOR","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0148148148148148,2,0.307756198236925
"Pancreas Beta Cells","1/40",0.191659056189908,0.367695302875614,0,0,4.84859584859585,8.01006087680852,"VDR","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.025,1,0.351663432459813
"Apical Surface","1/44",0.208695171624001,0.367695302875614,0,0,4.39667774086379,6.88906905948211,"APP","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0227272727272727,1,0.363752837453481
"Apoptosis","2/161",0.210111601643208,0.367695302875614,0,0,2.38691340106434,3.72386286896007,"APP;TIMP2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0124223602484472,2,0.363752837453481
"TGF-beta Signaling","1/54",0.249745210575179,0.416242017625299,0,0,3.56531895777179,4.94621704189516,"ID2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0185185185185185,1,0.393727117538014
"IL-2/STAT5 Signaling","2/199",0.284494637264486,0.417749396648658,0,0,1.92278406872315,2.41701816872002,"ALCAM;COL6A1","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0100502512562814,2,0.426848888456847
"Myc Targets V1","2/200",0.286456729130509,0.417749396648658,0,0,1.91297591297591,2.3915408635893,"RPS2;RPL6","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.01,2,0.426848888456847
"KRAS Signaling Up","2/200",0.286456729130509,0.417749396648658,0,0,1.91297591297591,2.3915408635893,"ID2;SOX9","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.01,2,0.426848888456847
"Cholesterol Homeostasis","1/74",0.325621380032427,0.455869932045397,0,0,2.58590998043053,2.90144267362493,"ALCAM","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0135135135135135,1,0.46783787775542
"Interferon Alpha Response","1/97",0.403520627882355,0.543200845226247,0,0,1.9640873015873,1.78246357286679,"IFITM2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0103092783505155,1,0.525531045894591
"Coagulation","1/138",0.520913267724136,0.656357585002014,0,0,1.37344456030587,0.895721706418201,"CSRP1","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0072463768115942,1,0.647395219579349
"Mitotic Spindle","1/199",0.654508082419004,0.656357585002014,0,0,0.947378547378547,0.40156661882743,"FLNB","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.0050251256281407,1,0.732389728611957
"TNF-alpha Signaling via NF-kB","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"ID2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"G2-M Checkpoint","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"DMD","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"Interferon Gamma Response","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"IFITM2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"mTORC1 Signaling","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"SLC6A6","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"Glycolysis","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"SOX9","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"heme Metabolism","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"AQP3","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"KRAS Signaling Dn","1/200",0.656357585002014,0.656357585002014,0,0,0.942569992821249,0.396868661388232,"TENM2","de/p60_de_up5_vs_ctrl_downsample500_pct10_lfc0.1.csv",0.005,1,0.732389728611957
"Angiogenesis","3/36",6.74204006904811e-05,0.000881753587998706,0,0,44.1751662971175,424.283163538483,"POSTN;S100A4;FGFR1","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0833333333333333,3,0.00122991155198999
